Ticker,Description,Exact Class,Asset Class,Asset Subclass,,AC Module I/O
EWU,iShares MSCI United Kingdom Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed United Kingdom Equity,EWU,US Equity
EWW,iShares MSCI Mexico Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Mexico Equity,EWW,Alternative
EWX,SPDR S&P Emerging Markets Small Cap ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Small Cap Equity,EWX,Intl Equity
EWY,iShares MSCI South Korea Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed South Korea Equity,EWY,Intl Equity
EWZ,iShares MSCI Brazil Capped ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Brazil Equity,EWZ,Fixed Income
EZA,iShares MSCI South Africa Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging South Africa Equity,EZA,Alternative
EZU,iShares MSCI EMU Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Europe Equity,EZU,Intl Equity
FCG,First Trust ISE-Revere Natural Gas Index Fund,Alternative,Alternative,Alternative U.S. Materials Sector Natural Gas Equity ,FCG,Alternative
FDL,First Trust Morningstar Dividend Leaders Index Fund,US Equity,U.S. Equity,U.S. Large Cap Value Equity,FDL,US Equity
FDN,First Trust DJ Internet Index Fund,US Equity,U.S. Equity,U.S. Technology Sector Equity ,FDN,US Equity
FEM,First Trust Emerging Markets AlphaDEX Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Equity,FEM,Intl Equity
FEZ,SPDR Euro STOXX 50 ETF,Foreign Equity,Foreign Developed Equity,Foreign Developed Europe Equity ,FEZ,Intl Equity
FM,iShares MSCI Frontier 100 Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Equity,FM,US Equity
FRI,First Trust S&P REIT Index Fund,Alternative,Alternative,Alternative U.S. Real Estate Equity ,FRI,Alternative
FVD,First Trust Value Line Dividend Index Fund,US Equity,U.S. Equity,U.S. Large Cap Value Equity,FVD,US Equity
FXA,CurrencyShares Australian Dollar Trust,Alternative,Alternative,Alternative Foreign Developed Australian Currency,FXA,Alternative
FXD,First Trust Consumer Discretionary AlphaDEX Fund,US Equity,U.S. Equity,U.S. Consumer Discretionary Sector Equity ,FXD,US Equity
FXE,CurrencyShares Euro Currency Trust,Alternative,Alternative,Alternative Foreign Developed Europe Currency ,FXE,Alternative
FXG,First Trust Consumer Staples AlphaDEX Fund,US Equity,U.S. Equity,U.S. Consumer Staples Sector Equity ,FXG,US Equity
FXH,First Trust Health Care AlphaDEX,US Equity,U.S. Equity,U.S. Healthcare Sector Equity ,FXH,US Equity
FXI,FTSE China 25 Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging China Equity,FXI,Fixed Income
FXO,First Trust Financials AlphaDEX Fund,US Equity,U.S. Equity,U.S. Financial Sector Equity,FXO,US Equity
FXY,CurrencyShares Japanese Yen Trust,Alternative,Alternative,Alternative Foreign Developed Japan Currency ,FXY,US Equity
GCC,GreenHaven Continuous Commodity Index Fund,Alternative,Alternative,Alternative Commodity ,GCC,Alternative
GDX,Market Vectors TR Gold Miners,Global Equity,Alternative,Alternative Commodity Precious Metals ,GDX,US Equity
GDXJ,Market Vectors Junior Gold Miners ETF,Global Equity,Alternative,Alternative Commodity Precious Metals ,GDXJ,US Equity
GLD,SPDR Gold Trust,Alternative,Alternative,Alternative Commodity Precious Metals ,GLD,Alternative
GNR,SPDR S&P Global Natural Resources ETF,Global Equity,Global Equity,Global Materials Sector Equity,GNR,Alternative
GOVT,iShares Barclays U.S. Treasury Bond Fund,US Fixed Income,U.S. Fixed Income,U.S. Government Bond Fixed Income,GOVT,Fixed Income
GREK,Global X FTSE Greece 20 ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Greece Equity,GREK,Intl Equity
GSG,iShares GSCI Commodity-Indexed Trust Fund,Alternative,Alternative,Alternative Commodity ,GSG,Alternative
GUNR,FlexShares Morningstar Global Upstream Natural Resources Index Fund ,Global Equity,Global Equity,Global Materials Sector Equity,GUNR,Alternative
GWL,SPDR S&P World ex-US ETF,Foreign Equity,Global Equity,Global Foreign Equity,GWL,Intl Equity
GWX,SPDR S&P International SmallCap ETF,Foreign Equity,Foreign Developed Equity,Foreign Developed Small & Mid Cap Equity,GWX,Intl Equity
GXC,SPDR S&P China ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging China Equity,GXC,Intl Equity
GXG,Global X InterBolsa FTSE Colombia 20 ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Colombia Equity,GXG,Fixed Income
HAO,Guggenheim China Small Cap ETF ,Foreign Equity,Foreign Emerging Equity,Foreign Emerging China Small Cap Equity,HAO,Alternative
HDGE,Ranger Active Bear ETF,Alternative,U.S. Equity,U.S. Inverse Equity,HDGE,US Equity
HDV,iShares High Dividend Equity Fund,US Equity,U.S. Equity,U.S. Large Cap Value Equity,HDV,US Equity
HEDJ,WisdomTree Europe Hedged Equity Fund ,Foreign Equity,Foreign Developed Equity,Foreign Developed Europe Leveraged Equity,HEDJ,Intl Equity
HYD,Market Vectors High Yield Municipal Index ETF,US Fixed Income,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,HYD,Fixed Income
HYEM,Market Vectors Emerging Markets High Yield Bond ETF,Foreign Fixed Income,Foreign Fixed Income,Foreign Emerging High Yield Bond Fixed Income ,HYEM,Alternative
HYG,iBoxx $ High Yield Corporate Bond Fund,US Fixed Income,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,HYG,Alternative
HYS,PIMCO 0-5 Year High Yield Corporate Bond Index Fund,US Fixed Income,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,HYS,US Equity
IAU,COMEX Gold Trust,Alternative,Alternative,Alternative Commodity Precious Metals ,IAU,Alternative
IBB,iShares Nasdaq Biotechnology,US Equity,U.S. Equity,U.S. Healthcare Sector Equity ,IBB,US Equity
ICF,iShares Cohen & Steers Realty Major,Alternative,Alternative,Alternative U.S. Real Estate Equity ,ICF,Alternative
IDV,iShares Dow Jones EPAC Select Dividend,Foreign Equity,Foreign Developed Equity,Foreign Developed Large Cap Equity ,IDV,Intl Equity
IDX,Market Vectors Indonesia Index ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Indonesia Equity,IDX,Alternative
IEF,Barclays 7-10 Year Treasury Bond Fund,US Fixed Income,U.S. Fixed Income,U.S. Government Bond Fixed Income,IEF,Fixed Income
IEFA,Core iShares MSCI EAFE ETF,Foreign Equity,Foreign Developed Equity,Foreign Developed Large Cap Equity ,IEFA,Intl Equity
IEI,iShares Barclays 3-7 Year Treasury Bond Fund,US Fixed Income,U.S. Fixed Income,U.S. Government Bond Fixed Income,IEI,Fixed Income
IEMG,Core iShares MSCI Emerging Markets ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Equity,IEMG,Fixed Income
IEO,iShares Dow Jones U.S. Oil & Gas Exploration & Production Index Fund,US Equity,U.S. Equity,U.S. Energy Sector Equity ,IEO,US Equity
IEV,iShares S&P Europe 350 Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Europe Equity,IEV,Intl Equity
IEZ,iShares Dow Jones U.S. Oil Equipment & Services Index Fund,US Equity,U.S. Equity,U.S. Energy Sector Equity ,IEZ,Intl Equity
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,Alternative,Global Equity,Global Foreign Real Estate Equity,IFGL,Alternative
IGE,iShares S&P North American Natural Resources Sector Index Fund,Global Equity,Global Equity,Global North American Materials Sector Equity,IGE,Intl Equity
IGF,iShares S&P Global Infrastructure,Global Equity,Global Equity,Global Infrastruture Equity,IGF,US Equity
IGN,iShares S&P North American Technology-Multimedia Networking Index Fund,US Equity,U.S. Equity,U.S. Technology Sector Equity ,IGN,Intl Equity
IJH,iShares Core S&P Mid-Cap ETF,US Equity,U.S. Equity,U.S. Mid Cap Core Equity ,IJH,US Equity
IJJ,iShares S&P MidCap 400 Value Index Fund,US Equity,U.S. Equity,U.S. Mid Cap Value Equity ,IJJ,US Equity
IJK,iShares S&P MidCap 400 Growth Index Fund,US Equity,U.S. Equity,U.S. Mid Cap Growth Equity,IJK,US Equity
IJR,iShares Core S&P Small-Cap ETF,US Equity,U.S. Equity,U.S. Small Cap Blend Equity,IJR,US Equity
IJS,iShares S&P SmallCap 600 Value Index Fund,US Equity,U.S. Equity,U.S. Small Cap Value Equity,IJS,US Equity
IJT,iShares S&P SmallCap 600 Growth Index Fund,US Equity,U.S. Equity,U.S. Small Cap Growth Equity ,IJT,US Equity
ILF,iShares Latin America 40 Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Latin America Equity,ILF,US Equity
INDA,iShares MSCI India Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging India Equity,INDA,Alternative
INDY,iShares S&P India Nifty Fifty Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging India Equity,INDY,Fixed Income
ITB,iShares Dow Jones U.S. Home Construction Index Fund,US Equity,Alternative,Alternative U.S. Homebuilding Equity ,ITB,US Equity
ITM,Market Vectors-Intermediate Municipal Index ETF,US Fixed Income,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,ITM,Fixed Income
ITOT,iShares Core S&P Total U.S. Stock Market ETF,US Equity,U.S. Equity,U.S. All Cap Equity,ITOT,US Equity
IVE,iShares S&P 500 Value Index Fund,US Equity,U.S. Equity,U.S. Large Cap Value Equity,IVE,US Equity
IVV,iShares Core S&P 500 ETF,US Equity,U.S. Equity,U.S. Large Cap Blend Equity,IVV,US Equity
IVW,iShares S&P 500 Growth Index Fund,US Equity,U.S. Equity,U.S. Large Cap Growth Equity,IVW,US Equity
IWB,iShares Russell 1000 Index Fund,US Equity,U.S. Equity,U.S. Large Cap Blend Equity,IWB,US Equity
IWD,iShares Russell 1000 Value,US Equity,U.S. Equity,U.S. Large Cap Value Equity,IWD,US Equity
IWF,iShares Russell 1000 Growth,US Equity,U.S. Equity,U.S. Large Cap Growth Equity,IWF,US Equity
IWM,Russell 2000 Index Fund,US Equity,U.S. Equity,U.S. Small Cap Blend Equity,IWM,US Equity
IWN,iShares Russell 2000 Value Index Fund,US Equity,U.S. Equity,U.S. Small Cap Value Equity,IWN,US Equity
IWO,iShares Russell 2000 Growth,US Equity,U.S. Equity,U.S. Small Cap Growth Equity ,IWO,US Equity
IWP,iShares Russell Midcap Growth Index,US Equity,U.S. Equity,U.S. Mid Cap Growth Equity,IWP,US Equity
IWR,iShares Russell Midcap Index Fund,US Equity,U.S. Equity,U.S. Mid Cap Blend Equity ,IWR,US Equity
IWS,iShares Russell Midcap Value Index,US Equity,U.S. Equity,U.S. Mid Cap Value Equity ,IWS,US Equity
IWV,iShares Russell 3000,US Equity,U.S. Equity,U.S. All Cap Equity,IWV,US Equity
IXC,iShares S&P Global Energy Index Fund,Global Equity,Global Equity,Global Energy Equity,IXC,Intl Equity
IYE,iShares Dow Jones U.S. Energy Sector Fund,US Equity,U.S. Equity,U.S. Energy Sector Equity ,IYE,US Equity
IYF,iShares Dow Jones U.S. Financial Sector Index Fund,US Equity,U.S. Equity,U.S. Financial Sector Equity,IYF,US Equity
IYJ,iShares Dow Jones U.S. Industrial Sector Index Fund,US Equity,U.S. Equity,U.S. Industrial Sector Equity ,IYJ,US Equity
IYM,iShares Dow Jones U.S. Basic Materials Index,US Equity,U.S. Equity,U.S. Materials Sector Equity ,IYM,Intl Equity
IYR,Dow Jones U.S. Real Estate Index Fund,Alternative,Alternative,Alternative U.S. Real Estate Equity ,IYR,Alternative
IYT,iShares Dow Jones Transportation Average Index Fund,US Equity,U.S. Equity,U.S. Industrial Sector Equity,IYT,US Equity
IYW,iShares Dow Jones U.S. Technology Index Fund,US Equity,U.S. Equity,U.S. Technology Sector Equity ,IYW,US Equity
IYZ,iShares Dow Jones U.S. Telecommunications Index Fund,US Equity,U.S. Equity,U.S. Communications Sector Equity,IYZ,US Equity
JNK,SPDR Barclays Capital High Yield Bond ETF,US Fixed Income,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,JNK,Alternative
KBE,SPDR S&P Bank ETF,US Equity,U.S. Equity,U.S. Financial Sector Equity,KBE,US Equity
KBWB,PowerShares KBW Bank Portfolio,US Equity,U.S. Equity,U.S. Financial Sector Equity,KBWB,US Equity
KIE,SPDR S&P Insurance ETF,US Equity,U.S. Equity,U.S. Financial Sector Equity,KIE,US Equity
KOL,Market Vectors Coal ETF,Global Equity,Alternative,Alternative Commodity Coal,KOL,Fixed Income
KRE,SPDR S&P Regional Banking ETF,US Equity,U.S. Equity,U.S. Financial Sector Equity,KRE,US Equity
MBB,iShares Barclays MBS Bond Fund,US Fixed Income,U.S. Fixed Income,U.S. Mortgage Backed Security Fixed Income,MBB,Fixed Income
MCHI,iShares MSCI China Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging China Equity,MCHI,Intl Equity
MDIV,First Trust Multi-Asset Diversified Income Index Fund,Multi-Class,U.S. Equity,U.S. Diversified Equity,MDIV,Intl Equity
MDY,SPDR MidCap Trust Series I,US Equity,U.S. Equity,U.S. Mid Cap Blend Equity ,MDY,US Equity
MINT,PIMCO Enhanced Short Maturity Strategy Fund,US Fixed Income,U.S. Fixed Income,U.S. Money Fixed Income,MINT,Alternative
MLPI,E-TRACS Alerian MLP Infrastructure Index,Alternative,Alternative,Alternative U.S. MLP Equity,MLPI,US Equity
MLPN,Credit Suisse Cushing 30 MLP Index ETN,Alternative,Alternative,Alternative U.S. MLP Equity,MLPN,US Equity
MOO,Market Vectors-Agribusiness ETF,Global Equity,Global Equity,Global Materials Sector Equity ,MOO,Intl Equity
MUB,iShares S&P National Municipal Bond Fund,US Fixed Income,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,MUB,Fixed Income
NKY,MAXIS Nikkei 225 Index ETF,Foreign Equity,Foreign Developed Equity,Foreign Developed Japan Equity,NKY,Intl Equity
OEF,iShares S&P 100 Index Fund,US Equity,U.S. Equity,U.S. Large Cap Blend Equity,OEF,US Equity
OIH,Market Vectors Oil Services ETF,US Equity,U.S. Equity,U.S. Materials Sector Oil Equity,OIH,Intl Equity
OIL,iPath S&P GSCI Crude Oil Tot Ret Idx ETN,Alternative,Alternative,Alternative Commodity Oil ,OIL,Alternative
PALL,ETFS Physical Palladium Shares,Alternative,Alternative,Alternative Commodity Precious Metals ,PALL,Intl Equity
PBJ,PowerShares Dynamic Food & Beverage,US Equity,U.S. Equity,U.S. Consumer Staples Sector Equity ,PBJ,US Equity
PBP,PowerShares S&P 500 BuyWrite Portfolio,US Equity,U.S. Equity,U.S. Long-Short Equity,PBP,US Equity
PBS,PowerShares Dynamic Media,US Equity,U.S. Equity,U.S. Consumer Discretionary Sector Equity ,PBS,US Equity
PBW,PowerShares WilderHill Clean Energy Portfolio,US Equity,U.S. Equity,U.S. Energy Sector Equity ,PBW,Fixed Income
PCEF,PowerShares CEF Income Composite Portfolio,Alternative,U.S. Fixed Income,U.S. Total Bond Fixed Income,PCEF,Alternative
PCY,PowerShares Emerging Markets Sovereign Debt Portfolio,Foreign Fixed Income,Foreign Fixed Income,Foreign Emerging Government Bond Fixed Income ,PCY,Fixed Income
PDP,PowerShares DWA Technical Leaders Portfolio,US Equity,U.S. Equity,U.S. All Cap Equity,PDP,US Equity
PEY,PowerShares High Yield Dividend Achievers,US Equity,U.S. Equity,U.S. All Cap Equity,PEY,US Equity
PFF,iShares S&P US Preferred Stock Fund,Alternative,U.S. Equity,U.S. Preferred Stock Equity,PFF,Alternative
PGF,PowerShares Financial Preferred Portfolio,Alternative,U.S. Equity,U.S. Preferred Stock Equity,PGF,Alternative
PGX,PowerShares Preferred Portfolio,Alternative,U.S. Equity,U.S. Preferred Stock Equity,PGX,Alternative
PHB,PowerShares Fundamental High Yield Corporate Bond Portfolio,US Fixed Income,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,PHB,Alternative
PHO,PowerShares Water Resource Portfolio,US Equity,Alternative,Alternative Water Commodity,PHO,US Equity
PID,PowerShares Intl Dividend Achievers,Foreign Equity,Foreign Developed Equity,Foreign Developed Large Cap Equity ,PID,US Equity
PIE,PowerShares DWA Emerging Market Technical Leaders Portfolio,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Technology Sector Equity ,PIE,Alternative
PIN,PowerShares India Portfolio,Foreign Equity,Foreign Emerging Equity,Foreign Emerging India Equity,PIN,Fixed Income
PIZ,PowerShares DWA Developed Market Technical Leaders Portfolio,Foreign Equity,Foreign Developed Equity,Foreign Developed Large Cap Equity ,PIZ,Intl Equity
PJP,PowerShares Dynamic Pharmaceuticals,US Equity,U.S. Equity,U.S. Healthcare Sector Equity ,PJP,US Equity
PKW,PowerShares Buyback Achievers,US Equity,U.S. Equity,U.S. All Cap Equity,PKW,US Equity
PPH,Market Vectors Pharmaceutical ETF,US Equity,U.S. Equity,U.S. Healthcare Sector Equity ,PPH,US Equity
PRF,PowerShares FTSE RAFI US 1000 Portfolio,US Equity,U.S. Equity,U.S. Large Cap Value Equity,PRF,US Equity
PSP,ProShares Listed Private Equity,Global Equity,U.S. Equity,U.S. Financial Sector Equity,PSP,Intl Equity
PSQ,ProShares Short QQQ,Alternative,U.S. Equity,U.S. Inverse Equity,PSQ,Alternative
PWV,PowerShares Dynamic LargeCap Value,US Equity,U.S. Equity,U.S. Large Cap Value Equity,PWV,US Equity
